dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,full_v2_fixed,123,0.149087,0.197003,0.386117,251275,31,1573.4
weather,96,full_v2_fixed,7,0.145319,0.191533,0.381207,251275,25,1253.2
weather,96,full_v2_fixed,99,0.147520,0.193879,0.384084,251275,23,1098.1
weather,96,full_v2_fixed,31,0.144725,0.190143,0.380428,251275,23,1149.4
weather,192,full_v2_fixed,123,0.194307,0.235979,0.440803,325099,21,957.4
weather,192,full_v2_fixed,7,0.194606,0.237164,0.441142,325099,22,960.3
weather,192,full_v2_fixed,99,0.198101,0.238941,0.445085,325099,25,1078.5
weather,192,full_v2_fixed,31,0.190402,0.233523,0.436350,325099,22,938.6
weather,336,full_v2_fixed,123,0.223693,0.262286,0.472962,1082875,11,615.4
weather,336,full_v2_fixed,7,0.223485,0.261492,0.472742,1082875,11,633.9
weather,336,full_v2_fixed,99,0.226845,0.263531,0.476283,1082875,10,637.7
weather,336,full_v2_fixed,31,0.222672,0.260371,0.471881,1082875,11,725.8
electricity,96,full_v2_fixed,2024,0.159834,0.252424,0.399792,186455,21,1666.5
electricity,96,full_v2_fixed,99,0.163569,0.254901,0.404436,186455,18,1356.5
electricity,192,full_v2_fixed,42,0.181142,0.274433,0.425608,223415,21,1819.4
electricity,192,full_v2_fixed,7,0.173427,0.265596,0.416446,223415,16,1482.4
electricity,192,full_v2_fixed,2023,0.175656,0.264508,0.419113,223415,16,1496.2
