dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
etth1,96,patchtst,42,0.377222,0.398615,0.614184,76014,17,28.7
etth1,96,patchtst,7,0.379444,0.396553,0.615990,76014,15,25.5
etth1,96,patchtst,2023,0.379488,0.401438,0.616026,76014,18,31.4
etth1,96,full_v2,123,0.382126,0.396908,0.618163,82521,14,44.3
etth1,96,full_v2,13,0.382473,0.397306,0.618444,82521,14,45.3
etth1,96,full_v2,31,0.384017,0.400043,0.619691,82521,14,45.4
etth1,96,full_v2_fixed,2024,0.387483,0.398827,0.622482,82521,12,39.7
etth1,96,full_v2_fixed,99,0.384431,0.397345,0.620025,82521,14,45.9
etth1,96,capacity_match,42,0.381362,0.401027,0.617546,82470,16,40.2
etth1,96,capacity_match,7,0.384013,0.395895,0.619688,82470,13,32.5
etth1,96,capacity_match,2023,0.379940,0.396219,0.616393,82470,14,35.0
etth1,96,gate_prior_only,123,0.383131,0.397276,0.618976,82521,14,38.7
etth1,96,gate_prior_only,13,0.384427,0.397245,0.620022,82521,14,38.2
etth1,96,gate_prior_only,31,0.381129,0.396786,0.617356,82521,14,39.4
etth1,96,no_env,2024,0.380088,0.396958,0.616513,82513,13,37.4
etth1,96,no_env,99,0.385740,0.405829,0.621080,82513,24,66.1
etth1,192,patchtst,42,0.426553,0.425704,0.653110,112974,15,31.2
etth1,192,patchtst,7,0.426300,0.428076,0.652917,112974,15,33.0
etth1,192,patchtst,2023,0.437062,0.426098,0.661107,112974,13,27.0
etth1,192,full_v2,123,0.434746,0.425842,0.659352,119481,13,43.5
etth1,192,full_v2,13,0.433267,0.426987,0.658230,119481,13,43.4
etth1,192,full_v2,31,0.437730,0.427531,0.661612,119481,12,40.5
etth1,192,full_v2_fixed,2024,0.434956,0.425344,0.659512,119481,13,44.5
etth1,192,full_v2_fixed,99,0.436670,0.428973,0.660810,119481,13,44.3
etth1,192,capacity_match,42,0.435533,0.432127,0.659949,119430,14,36.6
etth1,192,capacity_match,7,0.437216,0.426282,0.661223,119430,12,31.6
etth1,192,capacity_match,2023,0.437293,0.426852,0.661281,119430,12,31.5
etth1,192,gate_prior_only,123,0.434587,0.427668,0.659232,119481,13,36.6
etth1,192,gate_prior_only,13,0.434887,0.425448,0.659459,119481,13,36.3
etth1,192,gate_prior_only,31,0.435348,0.426861,0.659809,119481,13,36.0
etth1,192,no_env,2024,0.435079,0.431743,0.659605,119473,14,38.4
etth1,192,no_env,99,0.431954,0.429537,0.657232,119473,20,52.9
etth1,336,patchtst,42,0.441271,0.441748,0.664283,491934,10,20.6
etth1,336,patchtst,7,0.440348,0.441325,0.663587,491934,10,20.9
etth1,336,patchtst,2023,0.434974,0.435919,0.659526,491934,12,25.0
etth1,336,full_v2,123,0.439163,0.440510,0.662694,498441,10,30.8
etth1,336,full_v2,13,0.441572,0.441244,0.664509,498441,10,31.7
etth1,336,full_v2,31,0.437303,0.435593,0.661289,498441,11,34.3
etth1,336,full_v2_fixed,2024,0.437263,0.437827,0.661259,498441,10,31.7
etth1,336,full_v2_fixed,99,0.438128,0.438655,0.661912,498441,10,32.1
etth1,336,capacity_match,42,0.441223,0.439998,0.664246,498390,10,25.4
etth1,336,capacity_match,7,0.437472,0.438472,0.661416,498390,10,26.0
etth1,336,capacity_match,2023,0.439029,0.439489,0.662593,498390,10,25.6
etth1,336,gate_prior_only,123,0.438366,0.437997,0.662092,498441,10,27.3
etth1,336,gate_prior_only,13,0.438906,0.438970,0.662500,498441,10,27.6
etth1,336,gate_prior_only,31,0.436835,0.437671,0.660935,498441,11,29.6
etth1,336,no_env,2024,0.441410,0.440896,0.664387,498433,10,27.6
etth1,336,no_env,99,0.442267,0.442134,0.665032,498433,10,28.1
ettm1,96,patchtst,42,0.309614,0.352540,0.556429,76014,21,154.8
ettm1,96,patchtst,7,0.328505,0.365505,0.573154,76014,13,97.7
ettm1,96,patchtst,2023,0.327648,0.365177,0.572405,76014,13,99.6
ettm1,96,full_v2,123,0.307813,0.353833,0.554809,82521,20,237.7
ettm1,96,full_v2,13,0.312217,0.352602,0.558764,82521,22,258.6
ettm1,96,full_v2,31,0.317840,0.354587,0.563773,82521,22,261.0
ettm1,96,full_v2_fixed,2024,0.334949,0.363754,0.578748,82521,10,122.5
ettm1,96,full_v2_fixed,99,0.307594,0.349137,0.554611,82521,25,296.4
ettm1,96,capacity_match,42,0.321799,0.360250,0.567273,82470,23,212.7
ettm1,96,capacity_match,7,0.304488,0.349772,0.551804,82470,22,204.1
ettm1,96,capacity_match,2023,0.309751,0.349178,0.556553,82470,20,186.3
ettm1,96,gate_prior_only,123,0.308527,0.352577,0.555452,82521,22,223.1
ettm1,96,gate_prior_only,13,0.309120,0.350930,0.555985,82521,24,240.2
ettm1,96,gate_prior_only,31,0.310477,0.354198,0.557205,82521,21,211.1
ettm1,96,no_env,2024,0.318185,0.355753,0.564079,82513,20,207.7
ettm1,96,no_env,99,0.315917,0.355549,0.562065,82513,25,259.4
ettm1,192,patchtst,42,0.357197,0.378044,0.597659,112974,29,192.6
ettm1,192,patchtst,7,0.350717,0.374063,0.592214,112974,28,180.6
ettm1,192,patchtst,2023,0.362552,0.381906,0.602123,112974,31,200.8
ettm1,192,full_v2,123,0.361878,0.386040,0.601563,119481,17,182.6
ettm1,192,full_v2,13,0.358148,0.385331,0.598455,119481,25,264.9
ettm1,192,full_v2,31,0.356668,0.380893,0.597217,119481,20,212.4
ettm1,192,full_v2_fixed,2024,0.364859,0.386975,0.604036,119481,15,164.8
ettm1,192,full_v2_fixed,99,0.365180,0.385789,0.604301,119481,22,238.9
ettm1,192,capacity_match,42,0.366042,0.387252,0.605014,119430,23,190.6
ettm1,192,capacity_match,7,0.356506,0.382090,0.597081,119430,26,213.3
ettm1,192,capacity_match,2023,0.359211,0.383256,0.599342,119430,27,222.1
ettm1,192,gate_prior_only,123,0.362165,0.385333,0.601802,119481,27,239.1
ettm1,192,gate_prior_only,13,0.361157,0.385779,0.600963,119481,19,171.0
ettm1,192,gate_prior_only,31,0.355159,0.379281,0.595952,119481,19,170.6
ettm1,192,no_env,2024,0.361192,0.379374,0.600993,119473,17,157.0
ettm1,192,no_env,99,0.360289,0.383342,0.600241,119473,30,274.0
ettm1,336,patchtst,42,0.366076,0.390394,0.605042,491934,13,88.4
ettm1,336,patchtst,7,0.366265,0.390939,0.605198,491934,13,88.9
ettm1,336,patchtst,2023,0.367527,0.390330,0.606240,491934,11,75.8
