dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
etth1,96,patchtst,123,0.379552,0.398126,0.616078,76014,16,27.4
etth1,96,patchtst,13,0.376283,0.396570,0.613419,76014,17,28.1
etth1,96,patchtst,31,0.379366,0.395253,0.615927,76014,15,26.1
etth1,96,full_v2,2024,0.383730,0.397463,0.619459,82521,13,41.6
etth1,96,full_v2,99,0.383499,0.396523,0.619273,82521,13,42.2
etth1,96,full_v2_fixed,42,0.384237,0.398606,0.619869,82521,15,49.4
etth1,96,full_v2_fixed,7,0.380688,0.398537,0.617000,82521,15,49.2
etth1,96,full_v2_fixed,2023,0.385066,0.396784,0.620537,82521,13,42.8
etth1,96,capacity_match,123,0.388088,0.399604,0.622967,82470,14,35.1
etth1,96,capacity_match,13,0.382738,0.397228,0.618658,82470,13,32.4
etth1,96,capacity_match,31,0.384018,0.396021,0.619692,82470,13,32.6
etth1,96,gate_prior_only,2024,0.384570,0.397320,0.620137,82521,13,36.0
etth1,96,gate_prior_only,99,0.383999,0.397667,0.619677,82521,13,36.1
etth1,96,no_env,42,0.382639,0.398012,0.618579,82513,13,37.1
etth1,96,no_env,7,0.382873,0.397819,0.618768,82513,13,37.7
etth1,96,no_env,2023,0.382796,0.398930,0.618705,82513,13,37.3
etth1,192,patchtst,123,0.428378,0.431165,0.654506,112974,17,33.9
etth1,192,patchtst,13,0.435173,0.430710,0.659676,112974,15,30.9
etth1,192,patchtst,31,0.433666,0.432531,0.658534,112974,16,34.5
etth1,192,full_v2,2024,0.433368,0.428883,0.658307,119481,14,45.0
etth1,192,full_v2,99,0.454184,0.445407,0.673932,119481,20,64.1
etth1,192,full_v2_fixed,42,0.436825,0.427334,0.660927,119481,13,42.8
etth1,192,full_v2_fixed,7,0.439233,0.428605,0.662746,119481,12,40.5
etth1,192,full_v2_fixed,2023,0.437432,0.428418,0.661387,119481,12,39.9
etth1,192,capacity_match,123,0.436618,0.426689,0.660771,119430,13,33.5
etth1,192,capacity_match,13,0.436451,0.427139,0.660645,119430,12,31.6
etth1,192,capacity_match,31,0.435200,0.427228,0.659697,119430,12,31.3
etth1,192,gate_prior_only,2024,0.435639,0.426600,0.660029,119481,13,36.0
etth1,192,gate_prior_only,99,0.437304,0.426239,0.661290,119481,13,36.1
etth1,192,no_env,42,0.437876,0.436395,0.661722,119473,17,46.3
