dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
etth1,96,patchtst,2024,0.376275,0.400553,0.613412,76014,20,39.4
etth1,96,patchtst,99,0.385171,0.397386,0.620621,76014,13,27.0
etth1,96,full_v2,42,0.385198,0.396796,0.620644,82521,13,44.2
etth1,96,full_v2,7,0.381323,0.396296,0.617513,82521,14,46.0
etth1,96,full_v2,2023,0.387352,0.398588,0.622376,82521,12,41.1
etth1,96,full_v2_fixed,123,0.383662,0.398370,0.619404,82521,14,61.6
etth1,96,full_v2_fixed,13,0.381440,0.397429,0.617608,82521,14,61.1
etth1,96,full_v2_fixed,31,0.382399,0.397054,0.618384,82521,14,61.3
etth1,96,capacity_match,2024,0.387700,0.405023,0.622656,82470,16,39.6
etth1,96,capacity_match,99,0.381740,0.395621,0.617851,82470,14,35.4
etth1,96,gate_prior_only,42,0.381542,0.397872,0.617691,82521,14,43.0
etth1,96,gate_prior_only,7,0.385044,0.397428,0.620519,82521,13,39.6
etth1,96,gate_prior_only,2023,0.384771,0.396668,0.620299,82521,13,39.6
etth1,96,no_env,123,0.382361,0.397366,0.618353,82513,13,36.8
etth1,96,no_env,13,0.381315,0.399212,0.617507,82513,14,39.2
etth1,96,no_env,31,0.380747,0.399713,0.617047,82513,15,42.0
etth1,192,patchtst,2024,0.433364,0.426004,0.658304,112974,14,28.4
etth1,192,patchtst,99,0.436124,0.426913,0.660397,112974,12,25.2
etth1,192,full_v2,42,0.432447,0.427549,0.657607,119481,14,46.5
etth1,192,full_v2,7,0.436899,0.427013,0.660984,119481,12,40.1
etth1,192,full_v2,2023,0.437039,0.428278,0.661089,119481,12,40.6
etth1,192,full_v2_fixed,123,0.435313,0.425304,0.659783,119481,13,58.2
etth1,192,full_v2_fixed,13,0.437431,0.427768,0.661385,119481,13,55.6
etth1,192,full_v2_fixed,31,0.434135,0.426951,0.658889,119481,13,56.5
etth1,192,capacity_match,2024,0.438650,0.427974,0.662306,119430,12,30.8
etth1,192,capacity_match,99,0.434921,0.425799,0.659486,119430,13,32.9
etth1,192,gate_prior_only,42,0.434642,0.426230,0.659274,119481,13,39.8
etth1,192,gate_prior_only,7,0.446070,0.434501,0.667885,119481,11,34.0
etth1,192,gate_prior_only,2023,0.436262,0.426832,0.660502,119481,12,36.5
etth1,192,no_env,123,0.437652,0.429272,0.661553,119473,12,34.1
etth1,192,no_env,13,0.424773,0.427119,0.651746,119473,18,49.7
etth1,192,no_env,31,0.438718,0.435765,0.662358,119473,20,54.4
etth1,336,patchtst,2024,0.440996,0.440700,0.664076,491934,10,22.2
etth1,336,patchtst,99,0.433648,0.434886,0.658520,491934,11,23.9
etth1,336,full_v2,42,0.439421,0.439194,0.662888,498441,10,35.2
etth1,336,full_v2,7,0.437275,0.438103,0.661267,498441,11,38.8
etth1,336,full_v2,2023,0.441339,0.441605,0.664334,498441,10,35.7
etth1,336,full_v2_fixed,123,0.438085,0.438937,0.661880,498441,10,44.4
etth1,336,full_v2_fixed,13,0.439406,0.438568,0.662877,498441,10,44.6
etth1,336,full_v2_fixed,31,0.437985,0.438763,0.661804,498441,10,43.8
etth1,336,capacity_match,2024,0.439791,0.438897,0.663167,498390,10,24.6
etth1,336,capacity_match,99,0.437236,0.437338,0.661238,498390,10,24.6
etth1,336,gate_prior_only,42,0.439155,0.439032,0.662688,498441,10,33.3
etth1,336,gate_prior_only,7,0.438573,0.439806,0.662249,498441,10,32.6
etth1,336,gate_prior_only,2023,0.437465,0.438711,0.661411,498441,10,32.7
etth1,336,no_env,123,0.440329,0.441096,0.663573,498433,10,27.6
etth1,336,no_env,13,0.441476,0.439902,0.664437,498433,10,27.7
etth1,336,no_env,31,0.442639,0.442459,0.665312,498433,10,28.3
ettm1,96,patchtst,2024,0.325264,0.364766,0.570319,76014,13,100.7
ettm1,96,patchtst,99,0.324176,0.361995,0.569365,76014,16,122.4
ettm1,96,full_v2,42,0.311716,0.354632,0.558315,82521,23,293.7
ettm1,96,full_v2,7,0.309338,0.350241,0.556182,82521,21,269.2
ettm1,96,full_v2,2023,0.309620,0.351539,0.556435,82521,21,268.4
ettm1,96,full_v2_fixed,123,0.315373,0.353688,0.561581,82521,29,483.9
ettm1,96,full_v2_fixed,13,0.309544,0.351151,0.556367,82521,22,368.8
ettm1,96,full_v2_fixed,31,0.306279,0.350252,0.553425,82521,19,319.5
ettm1,96,capacity_match,2024,0.309597,0.354447,0.556414,82470,23,216.3
ettm1,96,capacity_match,99,0.316793,0.357512,0.562844,82470,23,221.2
ettm1,96,gate_prior_only,42,0.313592,0.354746,0.559993,82521,21,243.6
ettm1,96,gate_prior_only,7,0.307960,0.352991,0.554941,82521,20,232.5
ettm1,96,gate_prior_only,2023,0.317889,0.359043,0.563817,82521,23,266.4
ettm1,96,no_env,123,0.312054,0.354362,0.558618,82513,31,328.7
ettm1,96,no_env,13,0.310432,0.351764,0.557164,82513,23,245.6
ettm1,96,no_env,31,0.314231,0.354911,0.560563,82513,23,244.9
ettm1,192,patchtst,2024,0.355407,0.377894,0.596160,112974,26,197.7
ettm1,192,patchtst,99,0.357629,0.379612,0.598021,112974,24,183.1
ettm1,192,full_v2,42,0.359273,0.382340,0.599393,119481,18,235.8
ettm1,192,full_v2,7,0.356933,0.381283,0.597438,119481,20,256.5
ettm1,192,full_v2,2023,0.370466,0.390282,0.608659,119481,22,281.6
ettm1,192,full_v2_fixed,123,0.358403,0.379379,0.598668,119481,23,393.8
ettm1,192,full_v2_fixed,13,0.354195,0.377957,0.595143,119481,19,327.8
ettm1,192,full_v2_fixed,31,0.370789,0.392607,0.608925,119481,21,359.9
ettm1,192,capacity_match,2024,0.355709,0.379851,0.596413,119430,30,294.3
ettm1,192,capacity_match,99,0.356292,0.378883,0.596902,119430,18,177.9
ettm1,192,gate_prior_only,42,0.361301,0.386975,0.601083,119481,25,287.0
ettm1,192,gate_prior_only,7,0.366637,0.385845,0.605505,119481,20,227.5
ettm1,192,gate_prior_only,2023,0.359091,0.382415,0.599242,119481,20,230.7
ettm1,192,no_env,123,0.354548,0.376763,0.595439,119473,20,214.5
ettm1,192,no_env,13,0.357255,0.379029,0.597708,119473,25,266.7
ettm1,192,no_env,31,0.356153,0.379630,0.596785,119473,29,308.3
ettm1,336,patchtst,2024,0.370755,0.391036,0.608896,491934,11,93.1
ettm1,336,patchtst,99,0.370135,0.390549,0.608387,491934,11,92.9
ettm1,336,full_v2,42,0.370116,0.391276,0.608372,498441,10,141.4
ettm1,336,full_v2,7,0.366591,0.391536,0.605467,498441,11,153.7
ettm1,336,full_v2,2023,0.373873,0.396027,0.611452,498441,13,179.0
ettm1,336,full_v2_fixed,123,0.363107,0.389592,0.602584,498441,12,218.8
ettm1,336,full_v2_fixed,13,0.364790,0.391067,0.603979,498441,12,217.1
ettm1,336,full_v2_fixed,31,0.372943,0.392047,0.610690,498441,10,183.4
ettm1,336,capacity_match,2024,0.367802,0.393489,0.606467,498390,12,113.7
ettm1,336,capacity_match,99,0.385125,0.405934,0.620584,498390,14,131.8
ettm1,336,gate_prior_only,42,0.374223,0.396040,0.611738,498441,14,182.6
ettm1,336,gate_prior_only,7,0.366428,0.392410,0.605333,498441,13,169.1
ettm1,336,gate_prior_only,2023,0.366026,0.390452,0.605000,498441,12,156.8
ettm1,336,no_env,123,0.364208,0.388282,0.603497,498433,11,122.8
ettm1,336,no_env,13,0.370060,0.389842,0.608326,498433,16,177.6
ettm1,336,no_env,31,0.367478,0.393385,0.606200,498433,14,155.2
ili,24,patchtst,2024,1.201800,0.755862,1.096266,48294,41,9.2
ili,24,patchtst,99,1.495591,0.827611,1.222944,48294,30,7.7
ili,24,full_v2,42,1.297994,0.768363,1.139295,54801,34,10.8
ili,24,full_v2,7,1.410398,0.831364,1.187602,54801,26,9.1
ili,24,full_v2,2023,1.377893,0.803530,1.173837,54801,21,7.8
ili,24,full_v2_fixed,123,1.490373,0.840969,1.220808,54801,38,14.5
ili,24,full_v2_fixed,13,1.539694,0.896227,1.240844,54801,24,9.9
ili,24,full_v2_fixed,31,1.411525,0.821561,1.188076,54801,21,9.0
ili,24,capacity_match,2024,1.607914,0.919649,1.268036,54750,25,7.9
ili,24,capacity_match,99,1.694294,0.932917,1.301650,54750,30,8.6
ili,24,gate_prior_only,42,1.474486,0.843616,1.214284,54801,34,10.4
ili,24,gate_prior_only,7,1.625402,0.897849,1.274913,54801,27,9.1
ili,24,gate_prior_only,2023,1.351603,0.812006,1.162584,54801,23,8.0
ili,24,no_env,123,1.183683,0.736619,1.087972,54793,33,9.9
ili,24,no_env,13,1.334315,0.784053,1.155125,54793,28,8.9
ili,24,no_env,31,1.463791,0.822117,1.209872,54793,26,8.5
ili,48,patchtst,2024,2.256765,1.018672,1.502253,57534,16,5.2
ili,48,patchtst,99,1.886493,0.930860,1.373497,57534,32,7.6
ili,48,full_v2,42,2.082422,1.041789,1.443060,64041,33,10.9
ili,48,full_v2,7,2.346011,1.079628,1.531669,64041,14,6.5
ili,48,full_v2,2023,1.765497,0.900582,1.328720,64041,35,11.3
