  Epoch   1/50 | Train Loss: 0.489262 | Val Loss: 0.404173 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.432107 | Val Loss: 0.399146 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.426787 | Val Loss: 0.396987 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.423105 | Val Loss: 0.396484 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.418472 | Val Loss: 0.394687 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.411232 | Val Loss: 0.387333 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.404586 | Val Loss: 0.385218 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.399959 | Val Loss: 0.386235 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.395196 | Val Loss: 0.386739 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.388876 | Val Loss: 0.395509 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.381592 | Val Loss: 0.390240 | LR: 8.41e-04
  Epoch  12/50 | Train Loss: 0.376484 | Val Loss: 0.406334 | LR: 9.08e-04
  Epoch  13/50 | Train Loss: 0.371498 | Val Loss: 0.386745 | LR: 9.59e-04
  Epoch  14/50 | Train Loss: 0.366929 | Val Loss: 0.390464 | LR: 9.90e-04
  Epoch  15/50 | Train Loss: 0.362547 | Val Loss: 0.389175 | LR: 1.00e-03
  Early stopping at epoch 15
  [1/16] syn_ood pl96 no_env s123 -> MSE=0.33606 MAE=0.40090 (75s)
  Epoch   1/50 | Train Loss: 0.448287 | Val Loss: 0.383500 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.393118 | Val Loss: 0.379069 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.388492 | Val Loss: 0.376182 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.384362 | Val Loss: 0.374455 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.380661 | Val Loss: 0.374543 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.376956 | Val Loss: 0.370855 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.373567 | Val Loss: 0.371318 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.369867 | Val Loss: 0.367647 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.365522 | Val Loss: 0.371412 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.362518 | Val Loss: 0.376211 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.358636 | Val Loss: 0.368962 | LR: 8.41e-04
  Epoch  12/50 | Train Loss: 0.353993 | Val Loss: 0.380741 | LR: 9.08e-04
  Epoch  13/50 | Train Loss: 0.349055 | Val Loss: 0.383249 | LR: 9.59e-04
  Epoch  14/50 | Train Loss: 0.345334 | Val Loss: 0.384085 | LR: 9.90e-04
  Epoch  15/50 | Train Loss: 0.340725 | Val Loss: 0.378825 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.335597 | Val Loss: 0.376180 | LR: 9.98e-04
  Early stopping at epoch 16
  [2/16] syn_ood pl96 no_env s2025 -> MSE=0.28975 MAE=0.34675 (84s)
  Epoch   1/50 | Train Loss: 0.482142 | Val Loss: 0.422231 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.418567 | Val Loss: 0.417965 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.414082 | Val Loss: 0.415513 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.409463 | Val Loss: 0.414484 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.404658 | Val Loss: 0.413312 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.398598 | Val Loss: 0.410053 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.392979 | Val Loss: 0.409686 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.389159 | Val Loss: 0.408916 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.385766 | Val Loss: 0.408205 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.381496 | Val Loss: 0.407939 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.376715 | Val Loss: 0.408648 | LR: 8.41e-04
  Epoch  12/50 | Train Loss: 0.372566 | Val Loss: 0.414312 | LR: 9.08e-04
  Epoch  13/50 | Train Loss: 0.368162 | Val Loss: 0.411444 | LR: 9.59e-04
  Epoch  14/50 | Train Loss: 0.364468 | Val Loss: 0.412768 | LR: 9.90e-04
  Epoch  15/50 | Train Loss: 0.360068 | Val Loss: 0.414747 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.355878 | Val Loss: 0.413799 | LR: 9.98e-04
  Epoch  17/50 | Train Loss: 0.351141 | Val Loss: 0.414283 | LR: 9.92e-04
  Epoch  18/50 | Train Loss: 0.346557 | Val Loss: 0.423356 | LR: 9.82e-04
  Early stopping at epoch 18
  [3/16] syn_ood pl96 no_env s2027 -> MSE=0.33412 MAE=0.39889 (94s)
  Epoch   1/50 | Train Loss: 0.493442 | Val Loss: 0.417297 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.428843 | Val Loss: 0.412596 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.421804 | Val Loss: 0.411486 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.416135 | Val Loss: 0.408157 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.410332 | Val Loss: 0.412473 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.406105 | Val Loss: 0.405839 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.400993 | Val Loss: 0.406076 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.397218 | Val Loss: 0.409865 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.393544 | Val Loss: 0.410437 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.389889 | Val Loss: 0.403285 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.384685 | Val Loss: 0.405477 | LR: 8.41e-04
