dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,patchtst,42,0.319261,0.384584,0.565032,225646,3,264.7
syn_ood,96,patchtst,123,0.321630,0.387722,0.567125,225646,3,228.8
syn_ood,96,full_v2,42,0.320835,0.386082,0.566423,250841,3,321.1
syn_ood,96,full_v2,123,0.320672,0.386095,0.566279,250841,3,593.4
syn_ood,96,pcd_gate,42,0.320538,0.385661,0.566161,250743,3,170.1
syn_ood,96,pcd_gate,123,0.320343,0.385736,0.565989,250743,3,171.8
