dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,192,full_v2_fixed,7,0.190943,0.234008,0.436970,325099,24,292.4
weather,192,full_v2_fixed,99,0.189967,0.234371,0.435852,325099,18,217.0
weather,192,full_v2_fixed,31,0.193237,0.235261,0.439587,325099,22,261.9
weather,336,full_v2_fixed,123,0.223779,0.262474,0.473052,1082875,11,293.0
weather,336,full_v2_fixed,7,0.223141,0.265019,0.472378,1082875,12,318.9
weather,336,full_v2_fixed,2023,0.224522,0.264045,0.473838,1082875,12,315.2
electricity,192,full_v2_fixed,42,0.173334,0.265077,0.416334,223415,15,527.2
electricity,192,full_v2_fixed,7,0.171699,0.264455,0.414366,223415,16,535.1
electricity,192,full_v2_fixed,2023,0.171120,0.262181,0.413666,223415,16,544.6
traffic,96,full_v2_fixed,42,0.498384,0.345848,0.705963,776177,19,1770.5
traffic,96,full_v2_fixed,7,0.508317,0.343102,0.712963,776177,17,1580.9
traffic,96,full_v2_fixed,2023,0.493761,0.329965,0.702681,776177,22,2043.7
traffic,192,full_v2_fixed,123,0.501600,0.332611,0.708237,794705,22,2048.8
traffic,192,full_v2_fixed,13,0.506238,0.336026,0.711504,794705,19,1776.0
traffic,192,full_v2_fixed,31,0.509377,0.338946,0.713706,794705,17,1594.0
etth1,96,patchtst,42,0.374838,0.397305,0.612240,76014,17,64.9
etth1,96,patchtst,7,0.377342,0.398768,0.614281,76014,17,65.4
etth1,96,patchtst,2023,0.382881,0.398014,0.618773,76014,14,54.4
etth1,96,full_v2,123,0.387499,0.400876,0.622495,82521,15,87.6
etth1,96,full_v2,13,0.387215,0.398946,0.622266,82521,12,71.6
etth1,96,full_v2,31,0.388067,0.400093,0.622950,82521,12,71.0
etth1,96,full_v2_fixed,2024,0.381208,0.398626,0.617420,82521,15,90.4
etth1,96,full_v2_fixed,99,0.386595,0.398423,0.621767,82521,12,73.8
etth1,96,no_gate,42,0.381442,0.401410,0.617610,82415,16,73.9
etth1,96,no_gate,7,0.381451,0.397112,0.617617,82415,13,60.2
etth1,96,no_gate,2023,0.382391,0.399232,0.618378,82415,13,59.8
etth1,96,gate_prior_only,123,0.384872,0.397094,0.620381,82521,13,69.7
etth1,96,gate_prior_only,13,0.385978,0.398829,0.621271,82521,12,64.6
etth1,96,gate_prior_only,31,0.381632,0.396696,0.617764,82521,13,68.4
etth1,96,no_env,2024,0.392361,0.408119,0.626387,82513,19,99.4
etth1,96,no_env,99,0.384828,0.404154,0.620345,82513,17,88.2
etth1,192,patchtst,42,0.430614,0.429288,0.656211,112974,15,73.9
etth1,192,patchtst,7,0.435010,0.432236,0.659553,112974,15,92.0
etth1,192,patchtst,2023,0.430403,0.431453,0.656051,112974,15,90.9
etth1,192,full_v2,123,0.436134,0.426716,0.660404,119481,12,99.9
etth1,192,full_v2,13,0.434228,0.427128,0.658960,119481,13,106.8
etth1,192,full_v2,31,0.432321,0.425197,0.657511,119481,13,105.2
etth1,192,full_v2_fixed,2024,0.436974,0.427757,0.661040,119481,13,107.4
etth1,192,full_v2_fixed,99,0.430165,0.426803,0.655869,119481,14,114.4
etth1,192,no_gate,42,0.425080,0.429092,0.651982,119375,18,111.0
etth1,192,no_gate,7,0.433957,0.434126,0.658754,119375,16,103.3
etth1,192,no_gate,2023,0.433180,0.435333,0.658164,119375,20,125.8
etth1,192,gate_prior_only,123,0.437213,0.426582,0.661221,119481,12,86.2
etth1,192,gate_prior_only,13,0.434955,0.427476,0.659511,119481,13,94.1
etth1,192,gate_prior_only,31,0.437366,0.428402,0.661336,119481,12,88.6
etth1,192,no_env,2024,0.438824,0.428210,0.662438,119473,12,86.9
etth1,192,no_env,99,0.439024,0.430048,0.662589,119473,12,87.7
etth1,336,patchtst,42,0.437569,0.437765,0.661490,491934,10,69.5
etth1,336,patchtst,7,0.440985,0.439417,0.664067,491934,10,71.8
etth1,336,patchtst,2023,0.431428,0.433577,0.656832,491934,11,78.5
etth1,336,full_v2,123,0.440963,0.441423,0.664051,498441,10,96.0
etth1,336,full_v2,13,0.436827,0.437408,0.660929,498441,10,94.9
etth1,336,full_v2,31,0.440233,0.440295,0.663501,498441,10,93.4
etth1,336,full_v2_fixed,2024,0.438278,0.439606,0.662026,498441,10,95.9
etth1,336,full_v2_fixed,99,0.437609,0.437228,0.661520,498441,10,94.6
etth1,336,no_gate,42,0.448747,0.444603,0.669886,498335,10,77.5
etth1,336,no_gate,7,0.443565,0.441394,0.666007,498335,10,75.4
etth1,336,no_gate,2023,0.443004,0.442853,0.665586,498335,10,77.4
etth1,336,gate_prior_only,123,0.439819,0.440287,0.663188,498441,10,82.7
etth1,336,gate_prior_only,13,0.438709,0.437557,0.662351,498441,10,87.7
etth1,336,gate_prior_only,31,0.439204,0.439563,0.662725,498441,10,83.6
etth1,336,no_env,2024,0.439016,0.439493,0.662583,498433,10,86.0
etth1,336,no_env,99,0.441214,0.440979,0.664239,498433,10,86.2
ettm1,96,patchtst,42,0.321776,0.360644,0.567253,76014,17,245.9
ettm1,96,patchtst,7,0.313469,0.353933,0.559883,76014,25,350.6
ettm1,96,patchtst,2023,0.314568,0.352389,0.560864,76014,23,322.5
ettm1,96,full_v2,123,0.309576,0.349833,0.556395,82521,22,478.5
ettm1,96,full_v2,13,0.317865,0.361034,0.563795,82521,20,435.2
ettm1,96,full_v2,31,0.306042,0.350875,0.553211,82521,23,499.7
ettm1,96,full_v2_fixed,2024,0.333524,0.364112,0.577515,82521,10,225.5
ettm1,96,full_v2_fixed,99,0.316890,0.354003,0.562930,82521,23,462.6
ettm1,96,no_gate,42,0.314702,0.356591,0.560983,82415,20,312.5
ettm1,96,no_gate,7,0.312446,0.351452,0.558968,82415,22,371.8
ettm1,96,no_gate,2023,0.309679,0.350495,0.556488,82415,24,404.9
ettm1,96,gate_prior_only,123,0.333782,0.363644,0.577739,82521,10,194.8
ettm1,96,gate_prior_only,13,0.311078,0.351730,0.557744,82521,20,383.5
ettm1,96,gate_prior_only,31,0.306863,0.349907,0.553952,82521,22,421.3
ettm1,96,no_env,2024,0.312081,0.353819,0.558642,82513,19,378.8
ettm1,96,no_env,99,0.311937,0.352102,0.558513,82513,23,477.4
ettm1,192,patchtst,42,0.360700,0.384533,0.600583,112974,18,332.7
ettm1,192,patchtst,7,0.357545,0.381455,0.597950,112974,23,435.0
ettm1,192,patchtst,2023,0.352457,0.376223,0.593681,112974,27,624.1
ettm1,192,full_v2,123,0.361980,0.385260,0.601647,119481,17,613.5
ettm1,192,full_v2,13,0.357523,0.382524,0.597933,119481,20,676.0
ettm1,192,full_v2,31,0.366142,0.392111,0.605097,119481,31,1038.3
ettm1,192,full_v2_fixed,2024,0.361051,0.385083,0.600876,119481,18,597.3
ettm1,192,full_v2_fixed,99,0.361949,0.382552,0.601622,119481,23,744.6
ettm1,192,no_gate,42,0.356225,0.378935,0.596846,119375,24,621.7
ettm1,192,no_gate,7,0.357056,0.379866,0.597541,119375,23,611.8
ettm1,192,no_gate,2023,0.355547,0.377765,0.596278,119375,25,676.6
ettm1,192,gate_prior_only,123,0.361038,0.382430,0.600864,119481,21,607.6
ettm1,192,gate_prior_only,13,0.367190,0.386671,0.605962,119481,19,560.1
ettm1,192,gate_prior_only,31,0.359283,0.383309,0.599403,119481,24,721.0
ettm1,192,no_env,2024,0.364088,0.384494,0.603397,119473,19,591.9
ettm1,192,no_env,99,0.363525,0.383093,0.602931,119473,29,894.7
ettm1,336,patchtst,42,0.362802,0.387262,0.602331,491934,13,397.3
ettm1,336,patchtst,7,0.363239,0.388526,0.602694,491934,11,337.7
ettm1,336,patchtst,2023,0.363916,0.388549,0.603254,491934,12,359.7
ettm1,336,full_v2,123,0.374873,0.396626,0.612269,498441,13,551.3
ettm1,336,full_v2,13,0.367701,0.389495,0.606384,498441,10,433.9
ettm1,336,full_v2,31,0.378474,0.397619,0.615202,498441,15,672.8
ettm1,336,full_v2_fixed,2024,0.368216,0.392270,0.606808,498441,13,544.4
ettm1,336,full_v2_fixed,99,0.366566,0.390173,0.605447,498441,11,445.9
ettm1,336,no_gate,42,0.361137,0.387622,0.600947,498335,12,384.7
ettm1,336,no_gate,7,0.363116,0.389504,0.602591,498335,12,381.1
ettm1,336,no_gate,2023,0.362189,0.388120,0.601822,498335,11,350.6
ettm1,336,gate_prior_only,123,0.372193,0.396121,0.610076,498441,13,455.7
ettm1,336,gate_prior_only,13,0.375434,0.399168,0.612727,498441,14,499.2
ettm1,336,gate_prior_only,31,0.372219,0.395839,0.610098,498441,13,452.3
ettm1,336,no_env,2024,0.361767,0.386748,0.601471,498433,14,492.8
ettm1,336,no_env,99,0.362659,0.387564,0.602211,498433,12,414.8
ili,24,patchtst,42,1.311148,0.808412,1.145054,48294,32,12.4
ili,24,patchtst,7,1.282690,0.776323,1.132559,48294,33,12.0
ili,24,patchtst,2023,1.430542,0.819879,1.196053,48294,36,12.4
ili,24,full_v2,123,1.364416,0.807802,1.168082,54801,33,15.9
ili,24,full_v2,13,1.534660,0.821024,1.238814,54801,18,11.2
ili,24,full_v2,31,1.325823,0.788739,1.151444,54801,21,13.0
ili,24,full_v2_fixed,2024,1.340108,0.790743,1.157630,54801,22,12.7
ili,24,full_v2_fixed,99,1.274073,0.778345,1.128748,54801,26,15.3
ili,24,no_gate,42,1.398728,0.802155,1.182678,54695,26,12.5
ili,24,no_gate,7,1.482035,0.842384,1.217389,54695,30,13.1
ili,24,no_gate,2023,1.267664,0.760969,1.125906,54695,37,16.0
ili,24,gate_prior_only,123,1.502373,0.843913,1.225713,54801,28,14.5
ili,24,gate_prior_only,13,1.602135,0.847156,1.265755,54801,18,10.6
ili,24,gate_prior_only,31,1.354717,0.774891,1.163923,54801,19,11.2
ili,24,no_env,2024,1.311375,0.788973,1.145153,54793,37,17.4
ili,24,no_env,99,1.391483,0.792636,1.179611,54793,36,16.4
ili,48,patchtst,42,2.215310,1.020769,1.488392,57534,16,8.3
ili,48,patchtst,7,1.990286,0.936715,1.410775,57534,38,13.1
ili,48,patchtst,2023,1.880632,0.910641,1.371361,57534,20,9.5
ili,48,full_v2,123,1.770183,0.907368,1.330482,64041,43,18.9
ili,48,full_v2,13,1.597915,0.868880,1.264087,64041,40,17.5
ili,48,full_v2,31,1.739199,0.889047,1.318787,64041,38,17.6
ili,48,full_v2_fixed,2024,1.889770,1.001249,1.374689,64041,34,15.3
ili,48,full_v2_fixed,99,1.744294,0.907606,1.320717,64041,43,20.3
ili,48,no_gate,42,1.837320,0.904466,1.355478,63935,32,12.7
ili,48,no_gate,7,1.988882,0.956697,1.410277,63935,21,10.0
ili,48,no_gate,2023,2.152810,0.991248,1.467246,63935,20,10.2
ili,48,gate_prior_only,123,2.195985,1.018737,1.481886,64041,16,9.8
ili,48,gate_prior_only,13,1.886280,0.964631,1.373419,64041,25,12.6
ili,48,gate_prior_only,31,1.777794,0.908127,1.333339,64041,47,19.3
ili,48,no_env,2024,2.081744,0.986143,1.442825,64033,25,13.3
ili,48,no_env,99,1.981687,0.962813,1.407724,64033,22,10.9
exchange,96,patchtst,42,0.078229,0.196321,0.279695,76016,13,31.2
exchange,96,patchtst,7,0.080014,0.198414,0.282868,76016,13,32.0
exchange,96,patchtst,2023,0.077888,0.196874,0.279084,76016,12,29.8
exchange,96,full_v2,123,0.077504,0.195391,0.278395,82539,14,51.0
exchange,96,full_v2,13,0.077651,0.195681,0.278660,82539,15,54.9
exchange,96,full_v2,31,0.077325,0.195600,0.278073,82539,13,47.6
exchange,96,full_v2_fixed,2024,0.078081,0.195860,0.279429,82539,14,50.0
exchange,96,full_v2_fixed,99,0.078869,0.197082,0.280836,82539,12,45.7
