dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,capacity_match,123,0.147566,0.194792,0.384143,251224,31,2339.7
weather,96,capacity_match,99,0.149244,0.194115,0.386321,251224,23,2147.7
weather,192,capacity_match,123,0.192453,0.234859,0.438695,325048,20,1558.7
weather,192,capacity_match,7,0.194033,0.233889,0.440491,325048,18,1334.2
weather,192,capacity_match,99,0.192894,0.233042,0.439197,325048,22,1403.4
weather,192,capacity_match,31,0.189360,0.230792,0.435155,325048,22,1386.8
weather,336,capacity_match,123,0.226806,0.265128,0.476241,1082824,14,1097.4
weather,336,capacity_match,7,0.227881,0.265048,0.477369,1082824,13,1041.4
weather,336,capacity_match,99,0.224895,0.263976,0.474231,1082824,12,961.4
weather,336,capacity_match,31,0.224292,0.264238,0.473594,1082824,14,1133.3
electricity,96,capacity_match,2024,0.158968,0.252704,0.398708,186404,15,1481.1
electricity,96,capacity_match,99,0.159714,0.254311,0.399643,186404,17,1611.6
electricity,192,capacity_match,42,0.172876,0.263771,0.415784,223364,15,1443.7
electricity,192,capacity_match,7,0.172281,0.263577,0.415068,223364,14,1301.9
electricity,192,capacity_match,2023,0.173167,0.264612,0.416133,223364,14,1292.4
