dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,capacity_match,42,0.148400,0.192025,0.385227,251224,20,1542.7
weather,96,capacity_match,2024,0.145929,0.193365,0.382007,251224,27,2024.4
weather,192,capacity_match,42,0.191549,0.234263,0.437663,325048,27,2229.7
weather,192,capacity_match,2024,0.189097,0.232272,0.434852,325048,25,1811.7
weather,192,capacity_match,13,0.191106,0.234283,0.437157,325048,23,1465.3
weather,192,capacity_match,2023,0.190262,0.231794,0.436191,325048,24,1540.5
weather,336,capacity_match,42,0.225578,0.263363,0.474951,1082824,12,976.2
weather,336,capacity_match,2024,0.226130,0.263970,0.475531,1082824,12,958.7
weather,336,capacity_match,13,0.224332,0.264346,0.473637,1082824,12,962.9
weather,336,capacity_match,2023,0.222658,0.261899,0.471867,1082824,12,982.6
electricity,96,capacity_match,123,0.157828,0.252644,0.397276,186404,20,1930.2
electricity,96,capacity_match,13,0.162624,0.256639,0.403266,186404,15,1422.5
electricity,96,capacity_match,31,0.160445,0.253626,0.400555,186404,15,1419.7
electricity,192,capacity_match,2024,0.169045,0.260620,0.411151,223364,15,1385.8
electricity,192,capacity_match,99,0.173355,0.264276,0.416359,223364,15,1214.2
