dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,capacity_match,42,0.146112,0.191159,0.382246,251224,20,1027.6
weather,96,capacity_match,2024,0.149793,0.193685,0.387032,251224,20,955.8
weather,96,capacity_match,13,0.148152,0.194846,0.384906,251224,24,1212.6
weather,96,capacity_match,2023,0.148736,0.198008,0.385663,251224,33,2035.3
weather,192,capacity_match,42,0.192325,0.236390,0.438549,325048,20,1482.6
weather,192,capacity_match,2024,0.193963,0.234538,0.440413,325048,19,1467.8
weather,192,capacity_match,13,0.188678,0.231324,0.434371,325048,22,1583.9
weather,192,capacity_match,2023,0.190385,0.232935,0.436332,325048,23,1090.4
weather,336,capacity_match,42,0.225120,0.264028,0.474468,1082824,12,552.0
weather,336,capacity_match,2024,0.224106,0.263086,0.473398,1082824,12,608.5
weather,336,capacity_match,13,0.224571,0.263978,0.473890,1082824,11,547.1
weather,336,capacity_match,2023,0.223692,0.263626,0.472960,1082824,12,594.9
electricity,96,capacity_match,123,0.158557,0.252929,0.398192,186404,20,1525.4
electricity,96,capacity_match,13,0.161455,0.255446,0.401815,186404,15,964.1
electricity,96,capacity_match,31,0.160227,0.253067,0.400284,186404,15,953.4
electricity,192,capacity_match,2024,0.168558,0.260141,0.410558,223364,15,975.4
electricity,192,capacity_match,99,0.172845,0.263472,0.415747,223364,15,963.1
