dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,capacity_match,123,0.147507,0.193874,0.384066,251224,22,1128.0
weather,96,capacity_match,7,0.144816,0.190406,0.380547,251224,25,1227.4
weather,96,capacity_match,99,0.149832,0.196297,0.387082,251224,29,1485.1
weather,192,capacity_match,123,0.193690,0.234200,0.440102,325048,18,1373.3
weather,192,capacity_match,7,0.193393,0.235575,0.439765,325048,21,1613.3
weather,192,capacity_match,99,0.190723,0.232388,0.436719,325048,19,1173.5
weather,192,capacity_match,31,0.192589,0.235396,0.438850,325048,24,948.5
weather,336,capacity_match,123,0.222191,0.263378,0.471371,1082824,12,604.6
weather,336,capacity_match,7,0.223791,0.264107,0.473066,1082824,13,639.3
weather,336,capacity_match,99,0.225739,0.264875,0.475120,1082824,12,603.5
weather,336,capacity_match,31,0.222207,0.260010,0.471389,1082824,12,775.3
electricity,96,capacity_match,2024,0.158529,0.252053,0.398157,186404,15,972.8
electricity,96,capacity_match,99,0.159668,0.252902,0.399585,186404,15,962.3
electricity,192,capacity_match,42,0.172904,0.263557,0.415818,223364,15,957.0
electricity,192,capacity_match,7,0.171810,0.263158,0.414499,223364,14,896.8
electricity,192,capacity_match,2023,0.173150,0.264532,0.416114,223364,14,854.0
