dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,full_v2_fixed,42,0.337466,0.403809,0.580918,250841,16,142.1
syn_ood,96,full_v2_fixed,7,0.314616,0.383363,0.560907,250841,15,133.0
syn_ood,96,full_v2_fixed,2023,0.376661,0.427629,0.613727,250841,18,176.0
syn_ood,192,full_v2_fixed,123,0.365299,0.429419,0.604400,324665,15,426.7
syn_ood,192,full_v2_fixed,13,0.327947,0.393212,0.572667,324665,18,489.5
syn_ood,192,full_v2_fixed,31,0.314429,0.368175,0.560739,324665,13,287.9
