dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
exchange,96,full_v2,123,0.077076,0.194749,0.277625,82539,13,19.7
exchange,96,gate_prior_only,42,0.077303,0.195787,0.278034,82539,12,17.1
exchange,96,gate_prior_only,2024,0.077491,0.194829,0.278373,82539,12,16.4
exchange,96,capacity_match,123,0.077461,0.195080,0.278318,82488,13,15.7
exchange,96,patchtst,42,0.081303,0.198960,0.285136,76016,14,14.0
exchange,96,patchtst,2024,0.078493,0.196233,0.280166,76016,13,13.2
exchange,192,full_v2,123,0.171220,0.296114,0.413787,119499,14,21.3
exchange,192,gate_prior_only,42,0.174819,0.298662,0.418114,119499,15,19.3
exchange,192,gate_prior_only,2024,0.171229,0.297146,0.413798,119499,15,19.0
exchange,192,capacity_match,123,0.169582,0.295727,0.411803,119448,14,16.8
exchange,192,patchtst,42,0.173031,0.300414,0.415971,112976,12,12.4
exchange,192,patchtst,2024,0.174718,0.301554,0.417993,112976,13,13.3
weather_ood,96,full_v2,123,0.196419,0.230518,0.443191,251275,26,187.1
weather_ood,96,gate_prior_only,42,0.200963,0.233709,0.448289,251275,28,170.3
weather_ood,96,gate_prior_only,2024,0.198182,0.232053,0.445176,251275,22,132.0
weather_ood,96,capacity_match,123,0.202482,0.236388,0.449980,251224,27,149.4
weather_ood,96,patchtst,42,0.202842,0.233785,0.450380,225674,32,141.1
weather_ood,96,patchtst,2024,0.204178,0.235671,0.451861,225674,35,153.9
weather_ood,192,full_v2,123,0.263705,0.285038,0.513522,325099,23,163.9
weather_ood,192,gate_prior_only,42,0.257192,0.280506,0.507141,325099,23,142.2
weather_ood,192,gate_prior_only,2024,0.264332,0.287263,0.514132,325099,24,147.4
weather_ood,192,capacity_match,123,0.268869,0.289971,0.518526,325048,25,142.8
weather_ood,192,patchtst,42,0.267279,0.288836,0.516990,299498,49,217.4
weather_ood,192,patchtst,2024,0.265410,0.287591,0.515179,299498,39,174.9
electricity_ood,96,full_v2,123,0.173110,0.261391,0.416065,186455,17,434.1
electricity_ood,96,gate_prior_only,42,0.168261,0.256955,0.410197,186455,17,412.9
electricity_ood,96,gate_prior_only,2024,0.175575,0.263846,0.419017,186455,16,384.2
electricity_ood,96,capacity_match,123,0.172224,0.261288,0.414999,186404,15,333.0
electricity_ood,96,patchtst,42,0.185990,0.271719,0.431266,76642,16,175.7
electricity_ood,96,patchtst,2024,0.182705,0.268193,0.427440,76642,16,176.8
electricity_ood,192,full_v2,123,0.188543,0.274143,0.434216,223415,15,408.2
electricity_ood,192,gate_prior_only,42,0.192139,0.276597,0.438336,223415,16,420.8
electricity_ood,192,gate_prior_only,2024,0.190138,0.273598,0.436048,223415,17,439.9
electricity_ood,192,capacity_match,123,0.189307,0.274952,0.435094,223364,14,337.3
electricity_ood,192,patchtst,42,0.195515,0.278292,0.442171,113602,17,210.7
electricity_ood,192,patchtst,2024,0.197921,0.282774,0.444883,113602,16,201.1
traffic_ood,96,full_v2,123,0.565783,0.346371,0.752186,776177,23,1754.6
traffic_ood,96,gate_prior_only,42,0.542431,0.331574,0.736499,776177,23,1671.4
traffic_ood,96,gate_prior_only,2024,0.562821,0.335341,0.750214,776177,26,1886.7
traffic_ood,96,capacity_match,123,0.575125,0.336868,0.758370,776126,24,1515.6
traffic_ood,96,patchtst,42,0.608543,0.336244,0.780092,30556,30,447.2
traffic_ood,96,patchtst,2024,0.604616,0.338478,0.777571,30556,30,448.2
traffic_ood,192,full_v2,123,0.554113,0.343604,0.744388,794705,30,2266.0
traffic_ood,192,gate_prior_only,42,0.576978,0.339847,0.759591,794705,30,2167.0
traffic_ood,192,gate_prior_only,2024,0.560086,0.353086,0.748389,794705,16,1176.5
traffic_ood,192,capacity_match,123,0.564373,0.345228,0.751248,794654,15,957.8
traffic_ood,192,patchtst,42,0.605046,0.334193,0.777847,49084,30,478.9
traffic_ood,192,patchtst,2024,0.607535,0.342493,0.779445,49084,28,450.2
