dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,full_v2_fixed,42,0.329965,0.396619,0.574426,250841,17,149.7
syn_ood,96,full_v2_fixed,7,0.314031,0.383756,0.560384,250841,15,134.0
syn_ood,96,full_v2_fixed,2023,0.377384,0.430100,0.614316,250841,19,190.8
syn_ood,192,full_v2_fixed,123,0.364130,0.429389,0.603432,324665,21,592.6
syn_ood,192,full_v2_fixed,13,0.322156,0.389079,0.567588,324665,19,468.9
syn_ood,192,full_v2_fixed,31,0.315836,0.368593,0.561993,324665,13,290.7
