  Epoch   1/30 | Train Loss: 0.659651 | Val Loss: 0.667533 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.483213 | Val Loss: 0.599765 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.443558 | Val Loss: 0.562325 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.409403 | Val Loss: 0.517873 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.376728 | Val Loss: 0.490570 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.359520 | Val Loss: 0.483173 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.350410 | Val Loss: 0.475804 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.344090 | Val Loss: 0.472894 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.339438 | Val Loss: 0.473132 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.335770 | Val Loss: 0.472966 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.333539 | Val Loss: 0.472947 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.330698 | Val Loss: 0.471788 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.329029 | Val Loss: 0.470515 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.327884 | Val Loss: 0.474864 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.326777 | Val Loss: 0.477240 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.325621 | Val Loss: 0.474789 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.325198 | Val Loss: 0.469865 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.324569 | Val Loss: 0.473927 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.323774 | Val Loss: 0.473040 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.323173 | Val Loss: 0.476515 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.322789 | Val Loss: 0.473048 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.321858 | Val Loss: 0.473788 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.321780 | Val Loss: 0.472414 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.321295 | Val Loss: 0.471697 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.320857 | Val Loss: 0.473535 | LR: 1.33e-04
  Early stopping at epoch 25
  [1/6] traffic pl96 patchtst s123 -> MSE=0.55582 MAE=0.34133 (1476s)
  Epoch   1/30 | Train Loss: 0.634049 | Val Loss: 0.671114 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.468995 | Val Loss: 0.591006 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.421847 | Val Loss: 0.529215 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.385088 | Val Loss: 0.501041 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.365154 | Val Loss: 0.485687 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.351168 | Val Loss: 0.479941 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.340557 | Val Loss: 0.473942 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.333508 | Val Loss: 0.474598 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.327996 | Val Loss: 0.473509 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.324028 | Val Loss: 0.476658 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.321070 | Val Loss: 0.468453 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.318721 | Val Loss: 0.472430 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.316713 | Val Loss: 0.471736 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.315302 | Val Loss: 0.486684 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.314068 | Val Loss: 0.476961 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.312600 | Val Loss: 0.476902 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.311481 | Val Loss: 0.480944 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.310662 | Val Loss: 0.474760 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.309888 | Val Loss: 0.476986 | LR: 5.37e-04
  Early stopping at epoch 19
  [2/6] traffic pl96 no_gate s123 -> MSE=0.53506 MAE=0.35340 (1003s)
  Epoch   1/30 | Train Loss: 0.643047 | Val Loss: 0.652202 | LR: 6.90e-05
