  Epoch  23/30 | Train Loss: 0.270077 | Val Loss: 0.444207 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.269355 | Val Loss: 0.438423 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.268775 | Val Loss: 0.442168 | LR: 1.33e-04
  Epoch  26/30 | Train Loss: 0.268255 | Val Loss: 0.446600 | LR: 8.69e-05
  Early stopping at epoch 26
  [3/6] traffic pl96 full_v2 s2024 -> MSE=0.47535 MAE=0.33565 (2811s)
  Epoch   1/30 | Train Loss: 0.630596 | Val Loss: 0.585662 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.434332 | Val Loss: 0.527730 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.401149 | Val Loss: 0.501507 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.375650 | Val Loss: 0.474214 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.356707 | Val Loss: 0.458867 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.344025 | Val Loss: 0.447907 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.335835 | Val Loss: 0.444509 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.330245 | Val Loss: 0.444026 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.326482 | Val Loss: 0.446055 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.323497 | Val Loss: 0.439701 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.321860 | Val Loss: 0.441482 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.320194 | Val Loss: 0.440461 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.318590 | Val Loss: 0.443244 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.317881 | Val Loss: 0.441307 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.316788 | Val Loss: 0.441124 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.316000 | Val Loss: 0.442581 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.315322 | Val Loss: 0.441262 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.314774 | Val Loss: 0.440212 | LR: 6.11e-04
  Early stopping at epoch 18
  [4/6] traffic pl192 patchtst s2024 -> MSE=0.53895 MAE=0.33887 (438s)
