dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
exchange,96,patchtst,456,0.078214,0.196641,0.279667,76016,13,16.6
exchange,96,patchtst,678,0.079372,0.197189,0.281730,76016,13,16.8
exchange,96,no_gate,42,0.081726,0.200882,0.285877,82417,15,23.1
exchange,96,no_gate,345,0.081376,0.200032,0.285265,82417,14,21.3
exchange,96,no_gate,678,0.079177,0.198510,0.281384,82417,13,20.1
exchange,96,full_v2,123,0.080896,0.200940,0.284423,82539,17,32.5
exchange,96,full_v2,456,0.088538,0.208606,0.297554,82539,19,37.1
exchange,96,full_v2,789,0.078364,0.196358,0.279936,82539,12,24.5
exchange,96,learned_gate,234,0.079911,0.197966,0.282686,82488,12,18.8
exchange,96,learned_gate,567,0.078392,0.196257,0.279985,82488,14,22.1
exchange,192,patchtst,42,0.180427,0.306006,0.424767,112976,15,18.2
exchange,192,patchtst,345,0.176224,0.302447,0.419790,112976,14,15.3
exchange,192,patchtst,678,0.175284,0.302215,0.418670,112976,13,15.7
exchange,192,no_gate,123,0.173251,0.300324,0.416235,119377,12,18.3
exchange,192,no_gate,456,0.176272,0.302073,0.419848,119377,13,19.0
exchange,192,no_gate,789,0.172538,0.299131,0.415376,119377,13,19.6
exchange,192,full_v2,234,0.171083,0.296924,0.413622,119499,15,27.5
exchange,192,full_v2,567,0.171057,0.297396,0.413590,119499,15,29.8
exchange,192,learned_gate,42,0.169815,0.296254,0.412087,119448,13,20.9
exchange,192,learned_gate,345,0.168660,0.294549,0.410682,119448,13,20.6
exchange,192,learned_gate,678,0.174519,0.301542,0.417754,119448,18,25.9
weather_ood,96,full_v2,456,0.200896,0.233013,0.448214,251275,24,231.8
weather_ood,96,full_v2,789,0.200442,0.231795,0.447708,251275,30,258.9
weather_ood,96,learned_gate,234,0.204333,0.236142,0.452033,251224,27,171.6
weather_ood,96,learned_gate,567,0.203274,0.235626,0.450859,251224,27,175.0
weather_ood,192,patchtst,42,0.265726,0.288203,0.515487,299498,45,242.0
weather_ood,192,patchtst,345,0.266338,0.287007,0.516079,299498,45,244.6
weather_ood,192,patchtst,678,0.265373,0.286348,0.515144,299498,38,222.9
weather_ood,192,no_gate,123,0.271739,0.290264,0.521286,324587,29,191.1
weather_ood,192,no_gate,456,0.265255,0.286424,0.515029,324587,22,140.9
weather_ood,192,no_gate,789,0.270346,0.291637,0.519948,324587,24,151.0
weather_ood,192,full_v2,234,0.266114,0.287484,0.515862,325099,25,216.7
weather_ood,192,full_v2,567,0.266263,0.290608,0.516007,325099,22,206.4
weather_ood,192,learned_gate,42,0.266290,0.290011,0.516033,325048,23,163.4
weather_ood,192,learned_gate,345,0.265514,0.288122,0.515280,325048,24,158.9
weather_ood,192,learned_gate,678,0.275812,0.295137,0.525178,325048,28,191.1
electricity_ood,96,patchtst,42,0.184444,0.270118,0.429470,76642,16,212.3
electricity_ood,96,patchtst,234,0.185227,0.271797,0.430380,76642,17,269.1
electricity_ood,96,patchtst,456,0.183506,0.268928,0.428377,76642,16,243.1
electricity_ood,96,patchtst,678,0.182579,0.267939,0.427293,76642,17,260.9
electricity_ood,96,no_gate,123,0.179464,0.268966,0.423632,83043,16,239.8
electricity_ood,96,no_gate,456,0.182103,0.268332,0.426735,83043,17,302.8
electricity_ood,96,no_gate,789,0.176137,0.264535,0.419687,83043,16,232.8
electricity_ood,96,full_v2,234,0.172649,0.263234,0.415510,186455,16,538.8
electricity_ood,96,full_v2,567,0.177868,0.265348,0.421744,186455,21,798.7
electricity_ood,96,learned_gate,42,0.171504,0.260321,0.414131,186404,16,516.1
electricity_ood,96,learned_gate,345,0.172124,0.259946,0.414878,186404,19,550.0
electricity_ood,96,learned_gate,678,0.169287,0.259318,0.411445,186404,17,483.7
electricity_ood,192,patchtst,123,0.197625,0.279259,0.444551,113602,14,242.8
electricity_ood,192,patchtst,456,0.196758,0.279845,0.443574,113602,17,269.5
electricity_ood,192,patchtst,789,0.195424,0.277274,0.442068,113602,15,250.2
