dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
traffic,96,patchtst,42,0.564282,0.350181,0.751187,30556,30,1025.3
traffic,96,patchtst,7,0.542239,0.336516,0.736369,30556,30,617.3
traffic,96,patchtst,2023,0.556694,0.354237,0.746119,30556,15,313.8
traffic,96,full_v2,123,0.493866,0.340915,0.702756,776177,19,1893.9
traffic,96,full_v2,13,0.498304,0.336643,0.705907,776177,27,2968.2
traffic,96,full_v2,31,0.522045,0.342181,0.722527,776177,21,2385.3
traffic,96,full_v2_fixed,2024,0.496902,0.338214,0.704913,776177,17,1706.1
traffic,96,full_v2_fixed,99,0.495068,0.326138,0.703611,776177,24,2395.6
traffic,96,capacity_match,42,0.522287,0.356704,0.722694,776126,23,1931.4
traffic,96,capacity_match,7,0.531743,0.357578,0.729207,776126,15,1292.1
traffic,96,capacity_match,2023,0.480669,0.326095,0.693303,776126,26,2717.1
traffic,96,gate_prior_only,123,0.488924,0.327978,0.699231,776177,28,3636.4
traffic,96,gate_prior_only,13,0.518692,0.346658,0.720203,776177,18,2355.6
traffic,96,gate_prior_only,31,0.513880,0.348117,0.716854,776177,19,2438.9
traffic,192,patchtst,42,0.547983,0.339101,0.740259,49084,22,644.8
traffic,192,patchtst,7,0.547972,0.341016,0.740251,49084,28,791.3
traffic,192,patchtst,2023,0.544963,0.347886,0.738216,49084,16,464.6
traffic,192,full_v2,123,0.502890,0.332869,0.709147,794705,25,2675.5
traffic,192,full_v2,13,0.502768,0.338533,0.709062,794705,23,2302.3
traffic,192,full_v2,31,0.510478,0.336134,0.714478,794705,26,2698.3
traffic,192,full_v2_fixed,2024,0.499909,0.334422,0.707042,794705,22,2292.8
traffic,192,full_v2_fixed,99,0.493586,0.323121,0.702556,794705,28,2915.4
traffic,192,capacity_match,42,0.517444,0.341277,0.719335,794654,18,1577.2
traffic,192,capacity_match,7,0.534371,0.355830,0.731007,794654,14,1231.0
traffic,192,capacity_match,2023,0.534047,0.354947,0.730785,794654,15,1310.1
traffic,192,gate_prior_only,123,0.522490,0.344832,0.722835,794705,17,1698.0
traffic,192,gate_prior_only,13,0.511548,0.331818,0.715226,794705,30,2974.9
traffic,192,gate_prior_only,31,0.519986,0.349447,0.721100,794705,15,1502.2
