dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
traffic,96,no_env,42,0.527135,0.345745,0.726041,775314,19,11704.7
traffic,96,no_env,123,0.528894,0.357957,0.727251,775314,16,2577.9
traffic,96,no_env,2024,0.539899,0.358038,0.734778,775314,15,2334.7
traffic,96,no_env,7,0.525771,0.347696,0.725101,775314,21,3260.5
traffic,96,no_env,13,0.524971,0.349461,0.724549,775314,24,3724.9
traffic,96,no_env,99,0.533773,0.355177,0.730597,775314,22,3356.1
traffic,96,no_env,2023,0.539533,0.358753,0.734529,775314,18,2819.6
traffic,96,no_env,31,0.535419,0.348034,0.731723,775314,18,2818.0
traffic,192,no_env,42,0.524833,0.341072,0.724454,793842,26,4048.5
traffic,192,no_env,123,0.525843,0.339352,0.725150,793842,25,3863.7
traffic,192,no_env,2024,0.527807,0.346122,0.726503,793842,20,3106.6
traffic,192,no_env,7,0.524041,0.341512,0.723907,793842,20,3118.6
traffic,192,no_env,13,0.530985,0.354016,0.728687,793842,15,2367.8
traffic,192,no_env,99,0.530626,0.343252,0.728441,793842,24,3745.0
traffic,192,no_env,2023,0.525990,0.345545,0.725251,793842,18,3584.6
traffic,192,no_env,31,0.531070,0.346828,0.728745,793842,21,3361.4
