dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,full_v2_fixed,42,0.329477,0.398547,0.574001,250841,15,137.3
syn_ood,96,full_v2_fixed,7,0.315430,0.385817,0.561631,250841,12,109.8
syn_ood,96,full_v2_fixed,2023,0.382546,0.435270,0.618503,250841,15,141.1
syn_ood,192,full_v2_fixed,123,0.359458,0.425705,0.599548,324665,18,470.3
syn_ood,192,full_v2_fixed,13,0.329817,0.395813,0.574297,324665,18,491.7
syn_ood,192,full_v2_fixed,31,0.315681,0.368180,0.561855,324665,13,285.4
